solute,donor,acceptor
4_methylacetophenone,0,1
4_methylbenzaldehyde,0,1
4_methylpentan_2_ol,1,1
4_methylpentan_2_one,0,1
4_methylpyridine,0,1
4_n_propylphenol,1,1
4_nitroaniline,1,3
4_nitrophenol,1,3
4_tert_butylphenol,1,1
acenaphthene,0,0
acetaldehyde,0,1
acetic_acid,1,2
acetonitrile,1,1
acetophenone,0,1
alpha_methylstyrene,0,0
aniline,1,1
anisole,0,1
anthracene,0,0
azetidine,1,1
benzaldehyde,0,1
benzamide,1,1
benzene,0,0
benzonitrile,0,1
benzotrifluoride,0,3
benzyl_alcohol,1,1
benzyl_bromide,0,0
benzyl_chloride,0,0
biphenyl,0,0
bromobenzene,0,0
bromoethane,0,0
bromomethane,0,0
bromotrifluoromethane,0,3
but_1_ene,0,0
but_1_yne,0,0
buta_13_diene,0,0
butan_1_ol,1,1
butan_2_ol,1,1
butanenitrile,0,1
butanoic_acid,1,2
butanone,0,1
butyraldehyde,0,1
chlorobenzene,0,0
chlorodifluoromethane,0,2
chloroethane,0,0
chloroethylene,0,0
chlorofluoromethane,0,1
chloromethane,0,0
cis_12_dimethylcyclohexane,0,0
cyanobenzene,0,1
cyclohepta_135_triene,0,0
cycloheptanol,1,1
cyclohexane,0,0
cyclohexanol,1,1
cyclohexanone,1,1
cyclohexene,0,0
cyclohexylamine,1,1
cyclopentane,0,0
cyclopentanol,1,1
cyclopentanone,1,1
cyclopentene,0,0
cyclopropane,0,0
decan_1_ol,1,1
decan_2_one,0,1
di_isopropyl_sulfide,0,1
di_n_butyl_ether,0,1
di_n_propyl_ether,0,1
di_n_propyl_sulfide,0,1
di_n_propylamine,1,1
dibromomethane,0,0
dichloromethane,0,0
diethoxymethoxybenzene,0,3
diethyl_disulfide,0,2
diethyl_ether,0,1
diethyl_malonate,0,4
diethyl_succinate,0,4
diethyl_sulfide,0,4
diethylamine,1,1
diiodomethane,0,0
diisopropyl_ether,0,1
diisopropylamine,1,1
dimethoxymethane,0,2
dimethyl_ether,0,1
dimethyl_sulfate,0,4
dimethyl_sulfide,0,1
dimethyl_sulfone,0,2
dimethyl_sulfoxide,0,2
dimethylamine,1,1
E_12_dichloroethene,0,0
E_but_2_enal,0,1
E_hept_2_ene,0,1
E_hex_2_enal,0,1
E_oct_2_enal,0,1
ethanamide,1,1
ethane,0,6
ethanethiol,1,1
ethanol,1,1
ethene,0,0
ethyl_acetate,0,2
ethyl_benzoate,0,2
ethyl_butanoate,0,2
ethyl_formate,0,2
ethyl_hexanoate,0,2
ethyl_pentanoate,0,2
ethyl_phenyl_ether,0,1
ethyl_propanoate,0,2
ethylamine,1,1
ethylbenzene,0,0
fluorene,0,0
fluorobenzene,0,1
fluoromethane,0,1
formaldehyde,0,0
halothane,0,3
hept_1_ene,0,0
hept_1_yne,0,0
heptan_1_ol,1,1
heptan_2_one,0,1
heptan_4_one,0,1
heptanal,0,2
hex_1_ene,0,0
hex_1_yne,0,0
hexa_15_diene,0,0
hexafluoropropene,0,6
hexan_1_ol,1,1
hexan_2_one,0,1
hexan_3_ol,1,1
hexanal,0,1
hexanoic_acid,1,2
hydrazine,2,2
imidazole,1,1
indane,0,0
iodobenzene,0,0
iodoethane,0,0
iodomethane,0,0
isoamyl_acetate,0,2
isoamyl_formate,0,2
isobutyl_acetate,0,2
isobutyl_formate,0,2
isobutyl_isobutanoate,0,2
isobutylbenzene,0,0
isobutyraldehyde,0,1
isoflurane,0,6
isopropyl_acetate,0,2
isopropyl_formate,0,2
m_cresol,1,1
m_xylene,0,0
methane,0,0
methanesulfonyl_chloride,0,2
methanethiol,1,1
methanol,1,2
methoxyflurane,0,3
methyl_acetate,0,2
methyl_benzoate,0,2
methyl_butanoate,0,2
methyl_chloroacetate,0,2
methyl_cyanoacetate,0,3
methyl_cyclohexanecarboxylate,0,2
methyl_cyclohexyl_ketone,0,1
methyl_cyclopropanecarboxylate,0,2
methyl_cyclopropyl_ketone,0,1
methyl_ethyl_ether,0,1
methyl_ethyl_sulfide,0,1
methyl_formate,0,2
methyl_hexanoate,0,2
methyl_isopropyl_ether,0,2
methyl_methanesulfonate,0,2
methyl_octanoate,0,2
methyl_p_methoxybenzoate,0,2
methyl_p_nitrobenzoate,0,4
methyl_pentanoate,0,2
methyl_propanoate,0,2
methyl_propyl_ether,0,2
methyl_t_butyl_ether,0,1
methyl_tert_butyl_ether,0,1
methyl_trifluoroacetate,0,5
methyl_trimethylacetate,0,2
methylamine,0,2
methylcyclohexane,0,0
methylcyclopentane,0,0
morpholine,1,2
N_acetylpyrrolidine,0,1
n_butane,1,1
n_butanethiol,1,1
n_butyl_acetate,0,2
n_butylacetamide,1,1
n_butylamine,1,1
n_butylbenzene,0,0
n_decane,0,0
n_heptane,0,0
n_heptylamine,1,1
n_hexane,0,0
n_hexyl_acetate,0,2
n_hexylamine,1,1
n_hexylbenzene,0,0
N_methylacetamide,1,1
N_methylaniline,1,1
N_methylmorpholine,0,2
N_methylpiperazine,1,2
N_methylpiperidine,0,1
n_nonane,0,0
n_octane,0,0
n_octylamine,1,1
n_pentane,0,0
n_pentyl_acetate,0,2
n_pentyl_propanoate,0,2
n_pentylamine,1,1
n_pentylbenzene,0,0
n_pentylcyclopentane,0,0
n_propanethiol,1,1
n_propyl_acetate,0,2
n_propyl_butyrate,0,2
n_propyl_formate,0,2
n_propyl_propanoate,0,2
n_propylamine,1,1
n_propylbenzene,0,0
n_propylcyclopentane,0,0
naphthalene,0,0
nitrobenzene,1,3
nitroethane,0,2
nitromethane,0,2
NN_dimethyl_p_methylbenzamide,0,1
NN_dimethyl_p_nitrobenzamide,0,3
NN_dimethylaniline,0,1
NN_dimethylbenzamide,0,1
NN_dimethylformamide,0,1
non_1_ene,0,0
nonan_1_ol,0,0
nonan_2_one,0,1
nonan_5_one,0,1
nonanal,0,1
o_cresol,1,1
o_toluidine,1,1
o_xylene,0,0
oct_1_ene,0,0
oct_1_yne,0,0
octan_1_ol,1,1
octan_2_one,0,1
octanal,0,1
p_cresol,1,1
p_dibromobenzene,0,0
p_toluidine,1,1
p_xylene,0,0
pent_1_ene,0,0
pent_1_yne,0,0
penta_14_diene,0,0
pentachloroethane,0,0
pentan_1_ol,1,1
pentan_2_ol,1,1
pentan_2_one,0,1
pentan_3_ol,1,1
pentan_3_one,0,1
pentanal,0,0
pentanenitrile,0,1
pentanoic_acid,1,2
phenanthrene,0,0
phenol,1,1
phenyl_formate,0,2
phenyl_methyl_sulfide,0,1
phenyl_trifluoroethyl_ether,0,3
piperazine,2,2
piperidine,1,1
prop_2_en_1_ol,1,1
propan_1_ol,1,1
propan_2_ol,1,1
propane,0,0
propanenitrile,1,1
propanoic_acid,1,2
propanone,0,1
propene,0,0
propionaldehyde,0,1
propyne,0,0
pyrene,0,0
pyridine,0,1
pyrrole,1,0
pyrrolidine,1,1
quinoline,0,1
sec_butylbenzene,0,0
styrene,0,0
teflurane,0,4
tert_butylbenzene,0,0
tetrachloroethene,0,0
tetrachloromethane,0,0
tetrafluoromethane,0,4
tetrahydrofuran,0,1
tetrahydropyran,0,1
thiophene,0,1
thiophenol,1,1
toluene,1,1
trans_14_dimethylcyclohexane,0,0
triacetyl_glycerol,0,6
tribromomethane,0,1
trichloroethene,0,0
trichloromethane,0,0
triethyl_phosphate,0,4
triethylamine,0,1
trimethoxy_methane,0,3
trimethoxymethylbenzene,0,3
trimethyl_phosphate,0,4
trimethylamine,0,1
undecan_2_one,0,1
Z_12_dichloroethene,0,0
Z_pent_2_ene,0,0
water,2,1
