solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii
11_diacetoxyethane,-9.52,18.02,-16.4,1.62,-7.9,-4.97,-11.4,146,349.9,169.4,141.3,169.3,144.2,370.8,184,161.9,195,146.4,367.2,185.8,174.7,191.9,168.3
11_dichloroethane,-1.64,10,-8.19,1.81,0.17,-0.84,-2.15,99,230.1,98.6,75.2,98.5,76.9,239.2,104.8,84.6,109.3,78.2,254.5,116.2,101.3,168.8,131.7
11_dichloroethene,-0.85,9.62,-7.53,2.09,1.24,0.25,-1.14,97,221.4,92.9,68.4,92.8,70,229.3,98.1,76.1,100.9,71.4,249.4,112.7,96.4,114.4,94.7
11_diethoxyethane,-4.57,16.84,-14.45,2.39,-2.18,-3.28,-5.69,118,344.8,165.8,135.2,165.6,138.8,367.3,181.7,159.1,192.7,143.1,359.5,179.6,164.5,184.3,158.8
11_difluoroethane,-2.41,7.35,-4.75,2.6,0.19,-0.11,-2.98,66,199.5,79.5,55.2,79.5,56.8,213.3,88.7,67.5,91.5,62.7,217.4,92.3,72.6,93.4,71.6
111_trichloroethane,-1.13,12.22,-10.34,1.88,0.75,-0.19,-1.44,133.5,250.4,111.8,90.6,111.7,92.6,259.6,118.3,101.3,125.2,93.2,279.1,132.8,123.5,136.7,119.7
111_trifluoro_222_trimethoxyethane,-4.57,15.87,-13.56,2.31,-2.26,-0.8,-5.87,174,321.3,157.1,140.8,156.9,143.5,334,166.2,157,178.1,144,342.6,174.7,175.5,181.6,169.1
111_trifluoropropan_2_ol,-6.05,11.21,-8.72,2.49,-3.56,-4.16,-8.9,114,247.2,110.1,88.2,110,90,258.5,118.1,101.6,125,93.3,268,125.3,111.9,179.3,141
111_trimethoxyethane,-5.55,14.7,-13.04,1.66,-3.89,-4.42,-6.73,120,306.2,146.8,126.6,146.6,129.2,318.6,155.5,141.5,166,129.1,322.2,160.6,154.4,166,149.3
1112_tetrachloroethane,-1.43,13.63,-12.09,1.54,0.11,-1.28,-1.75,168,271.4,125.4,106.1,125.2,108.3,276.9,129.4,114,137.8,104.7,304.5,149.7,145.4,154.7,140.7
112_trichloro_122_trifluoroethane,-0.32,12.68,-10.83,1.85,1.53,1.77,-0.6,187.5,269.9,124.8,106.7,124.7,108.7,279.2,131.6,118.7,140.4,109.6,303.7,149.6,146.5,155,141.6
112_trichloroethane,-2.01,11.96,-10.45,1.51,-0.5,-1.99,-3.29,133.5,251.4,112.3,90.4,112.2,92.6,256.4,115.8,97.3,160.6,111.2,280.4,133.4,123.3,136.8,119.9
1122_tetrachloroethane,-1.88,13.73,-12.26,1.47,-0.41,-2.47,-2.46,168,272.1,125.7,106,125.6,108.2,276.1,128.6,112.2,175,125,305.5,150.1,145.3,154.8,140.8
12_diacetoxyethane,-9.93,17.68,-16.07,1.61,-8.32,-6.34,-12.84,146,360.4,172.8,139.2,172.9,142.3,377,186.1,157.8,194.7,143.8,378.9,190.5,173.1,194.8,168.2
12_dibromoethane,-1.6,12.26,-10.47,1.79,0.19,-2.33,-1.94,187.8,246.4,108.1,83.7,108.1,85.7,249.9,110.8,89.3,115.3,82.4,274.9,128.5,113.9,130.9,111.6
12_dichlorobenzene,-1.96,14.76,-13.44,1.32,-0.64,-1.36,-2.5,147,287.9,135.7,113.1,135.7,115.1,298.9,143.6,125.4,148.7,117.5,315.7,157.2,151.2,159.9,148.2
12_dichloroethane,-2.15,10.31,-8.68,1.63,-0.52,-1.79,-3.22,99,230.2,98.6,74.8,98.6,76.9,236.5,103,82.3,107.2,75.9,254.5,116.2,101.1,118.3,99
12_dichloropropane,-2.13,11.99,-10.06,1.93,-0.2,-1.27,-3.11,113,255.5,115.1,93.7,115,95.9,265.7,122.3,105.6,130,96.3,279,132.6,122.1,136.1,118.5
12_diethoxyethane,-5.47,16.63,-14.24,2.39,-3.08,-3.54,-6.58,118,353.3,168.6,134.1,168.5,137.4,373.8,183,155.1,192.5,140.7,367.6,182.6,163.4,186.6,158.8
12_dimethoxyethane,-5.29,12.8,-10.87,1.93,-3.36,-4.84,-7.36,90,283.7,128.1,98.6,128.1,101,293.2,134.9,109.4,140.6,99.8,298.5,141,121.8,143.7,119
12_ethanediol,-8.71,9.27,-8.18,1.09,-7.62,-9.3,-13.73,62,213,87.8,63.2,87.7,65.1,211.2,87.2,65.4,89.9,60.1,226.7,97.9,78.3,99.6,76.7
123_trichlorobenzene,-1.67,16.31,-15.02,1.29,-0.38,-1.24,-2,181.5,308.1,149.2,127.6,149.1,129.9,317.5,156.1,139.6,162.5,130.7,340.1,173.8,172.3,177.5,168.4
123_trimethylbenzene,-2.79,15.64,-13.5,2.14,-0.65,-1.21,-2.93,120,318.8,156.9,135.8,156.8,138.4,339.3,171.9,159.6,180.6,147.6,335.5,171.1,167.9,174.7,163.9
1234_tetrachlorobenzene,-1.25,17.83,-16.9,0.93,-0.32,-1.34,-1.43,216,328.2,162.6,142.3,162.5,144.7,336.1,168.6,153.8,176.2,144,364.4,190.5,193.5,195,188.6
1235_tetrachlorobenzene,-0.92,18.16,-17.26,0.9,-0.02,-1.62,-1.14,216,331.8,163.8,142.4,163.8,144.8,339.1,169.6,153.9,177.2,143.9,370.1,193,194,197.6,189.1
124_trichlorobenzene,-1.35,16.51,-15.34,1.17,-0.18,-1.12,-1.79,181.5,311.7,150.5,127.7,150.4,130,320.5,157.2,139.7,163.5,130.7,345.8,176.3,172.9,180,168.9
124_trimethylbenzene,-2.75,15.86,-13.47,2.39,-0.36,-0.86,-2.9,120,326.5,160,136.8,159.9,139.6,348.2,175.8,161.4,185,149,342.8,174.4,169.1,178.5,165
1245_tetrachlorobenzene,-0.97,17.75,-16.53,1.22,0.25,-1.34,-1.19,216,332.1,164,142.4,163.9,144.8,339.3,169.8,153.9,177.3,144,370.5,193.2,194.2,197.8,189.3
13_dichlorobenzene,-1.6,14.66,-13.05,1.61,0.01,-0.98,-2.24,147,291.3,136.9,113.1,136.8,115.2,301.6,144.5,125.5,149.7,117.4,321,159.4,151.6,162.2,148.7
13_dichloropropane,-2.18,11.98,-10.18,1.8,-0.38,-1.89,-2.95,113,257.3,115.8,93.8,115.7,95.9,266.1,122.1,104.7,129.6,95.4,281.4,133.7,122.4,137.3,118.7
13_dimethylnaphthalene,-4.5,19.58,-17.87,1.71,-2.79,-2.47,-4.84,156,363.5,184.7,163.5,184.6,166.4,384.9,200.6,188.4,209.9,175.5,382.3,201.6,204.4,205.8,199.6
135_trichlorobenzene,-0.96,16.71,-15.3,1.41,0.45,-0.78,-1.44,181.5,315,151.6,127.7,151.5,130,323.1,158.1,139.7,164.4,130.6,351.1,178.6,173.3,182.3,169.4
135_trimethylbenzene,-2.73,16.62,-13.85,2.77,0.04,-0.9,-2.84,120,333.2,162.7,137.1,162.7,140.3,356.1,179.4,162.3,188.9,149.4,349.5,177.4,170.8,181.7,165.8
14_dichlorobenzene,-1.63,14.6,-13.07,1.53,-0.1,-1.01,-2.31,147,291.3,136.9,113.2,136.8,115.2,301.6,144.5,125.5,149.7,117.3,321.1,159.4,151.6,162.2,148.6
14_dichlorobutane,-2.38,14.22,-12.11,2.11,-0.27,-2.32,-3.27,127,288.4,134.6,111.7,134.5,114.1,297.8,142.1,126,151.6,114.5,313.2,153.3,142.8,157.6,138.4
14_dimethyl_piperazine,-8.2,16.67,-15.87,0.8,-7.4,-7.58,-6.33,114,310.7,150.3,131.7,150.2,134.4,320.4,157.6,146,169.7,131.9,324.2,162.1,157.3,167.6,151.8
14_dimethylnaphthalene,-4.5,19.1,-17.89,1.21,-3.29,-2.82,-4.87,156,357.2,181.9,162,181.8,165.2,378.2,197.3,186.6,206.1,174.2,375.9,198.5,203,202.4,198.6
14_dioxane,-4.71,12.23,-11.87,0.36,-4.35,-5.06,-6.02,88,245.2,108.6,87.5,108.6,89.5,253,114.1,96.4,119.3,88.5,258.8,119.7,106.8,121.9,104.6
2_bromo_2_methylpropane,-1.25,12.66,-10.52,2.14,0.89,0.84,-1.81,136.9,263.7,121,102.5,120.9,104.6,279.2,132.2,120.1,143.4,108.8,283.1,135.8,128.1,141.4,123
2_bromopropane,-1.16,11.08,-8.95,2.13,0.97,-0.48,-1.71,122.9,241.4,105.9,83,105.8,85.1,254.6,115.1,96.8,121.9,88.4,260.9,120.6,106.8,123.6,103.7
2_butoxyethanol,-5.94,16.71,-14.84,1.87,-4.07,-6.25,-6.83,118,342.6,165.4,135.3,165.4,138.1,358.7,176.7,154.2,188,139.4,358,178.8,162.4,183.3,156.9
2_chloro_111_trimethoxyethane,-5.4,16.87,-14.77,2.1,-3.3,-4.59,-8.2,154.5,321.4,158.1,144.1,157.9,147,330,164.5,156.4,179.6,140.5,342.9,175.6,177.4,183.4,170.1
2_chloro_2_methylpropane,-1.44,11.48,-9.22,2.26,0.82,1.09,-1.86,92.5,257.9,117.2,98.1,117.1,99.8,274.4,129.1,116.3,139.6,105.5,276.2,131.2,121.5,136.4,116.8
2_chloroaniline,-6.04,14.7,-13.62,1.08,-4.96,-4.91,-7.39,127.5,284.2,133.7,110.4,133.6,112.4,290.5,138.1,119.5,142.7,112.1,307.3,151.7,143.8,154.3,141
2_chlorobutane,-1.35,11.77,-9.21,2.56,1.21,0,-1.73,92.5,262.7,119.3,96.6,119.2,98.9,279.1,131,114.8,139.9,104.3,280.6,133.2,120.8,136.9,117.1
2_chlorophenol,-4.51,14.46,-13.18,1.28,-3.23,-4.55,-5.85,128.5,277.2,129.3,106.4,129.2,108.3,287.6,136.1,117.1,140.6,109.6,301,147.5,138.9,149.7,136.7
2_chloropropane,-1.4,10.06,-7.84,2.22,0.82,-0.25,-1.82,78.5,235.2,101.9,78.6,101.9,80.5,249.6,111.9,93.2,118.2,85,253.6,115.7,100.4,118.4,97.6
2_chloropyridine,-4.85,13.25,-11.76,1.49,-3.36,-4.39,-5.66,113.5,260.5,117.3,93.2,117.3,95,271.7,125.3,105.2,128.5,99.2,285.2,136.3,124.8,137.9,123.1
2_chlorotoluene,-2.18,14.53,-12.86,1.67,-0.51,-1.14,-2.76,126.5,292,138.7,116.2,138.6,118.5,307.3,149.6,132.7,155.9,123.7,314.1,156.4,150.2,159.4,146.9
2_ethoxyethanol,-6.41,12.93,-11.29,1.64,-4.77,-6.69,-11.76,90,283.7,128.4,98.5,128.3,101.2,292.5,135.1,110.2,141.2,100.6,297.7,140.4,120.9,143.2,117.8
2_ethylpyrazine,-6.94,15.22,-13.96,1.26,-5.68,-5.45,-7.71,108,289.3,135,110.4,134.9,112.8,305.9,147,129.3,154.3,119.4,307.9,150.7,140.4,154,137.2
2_ethylpyridine,-4.96,15.05,-13.3,1.75,-3.21,-4.33,-5.22,107,297.4,139.9,115.5,139.9,117.8,315.5,153.1,135.5,160.9,125.1,314.4,154.8,145.4,158.1,141.9
2_ethyltoluene,-2.85,16.29,-14.1,2.19,-0.66,-1.04,-2.97,120,320.6,157.8,137.8,157.7,140.2,340.9,172.6,161,182.6,148.8,337.5,172.2,170,176.9,165.4
2_fluorophenol,-4.89,12.98,-11.33,1.65,-3.24,-5.29,-6.02,112,264.2,120.8,97.3,123,102.1,275.8,128.6,109,132.5,102.1,284.8,136.8,125.6,138.6,123.8
2_iodophenol,-3.93,15.79,-14.77,1.02,-2.91,-6.2,-5.34,219.9,292.1,138.9,117.1,138.8,119.2,301.3,144.9,126.8,150.1,118.7,319.4,159.8,154.9,162.3,152.4
2_iodopropane,-1.97,11.99,-9.73,2.26,0.29,-0.46,-2.8,169.9,250.5,111.8,89.9,111.7,91.9,263,120.6,103.3,127.9,94.5,272.5,128.4,117,131.7,113.7
2_isobutylpyrazine,-6.81,18.22,-16.51,1.71,-5.1,-5.04,-7.18,136,330.2,163.2,147.3,163,150.5,348.5,176.9,172.4,191,157.5,348.5,179.1,181.4,185.6,175
2_methoxy_111_trimethoxyethane,-7.61,18.05,-16.41,1.64,-5.97,-5.73,-10.97,150,355.2,175.6,155.6,175.4,159.3,365.7,183.5,170.4,197.9,152.7,372.4,191.2,188,198.8,180.2
2_methoxyaniline,-7.69,15.89,-14.73,1.16,-6.53,-6.12,-9.41,123,307,147.3,124.1,147.2,126.5,314.2,152.8,134.7,160.4,124.4,324.6,162.5,155.8,166.5,151.6
2_methoxyethanamine,-7.04,11.2,-9.78,1.42,-5.62,-6.55,-8.78,75,255.1,112.1,84.4,112.1,86.6,256.6,113.7,90,118.1,82.5,270,123.9,104.3,126.1,101.9
2_methoxyphenol,-6,15.51,-14.25,1.26,-4.74,-5.57,-7.94,124,300.1,142.9,120,142.9,122.3,311.7,151,132.3,158.7,121.9,318.5,158.4,150.9,161.9,147.3
2_methyl_but_2_ene,-0.56,11.67,-8.73,2.94,2.38,1.31,-0.82,70,261.2,117.5,91,117.5,93.2,281.6,131.7,110.5,137.3,102.2,275.3,129.3,113.7,131.9,111.2
2_methylbut_2_ene,-0.55,11.25,-8.42,2.83,2.28,1.31,-0.82,70,261.2,117.5,91,117.5,93.2,281.6,131.7,110.5,137.3,102.2,275.3,129.3,113.7,131.9,111.2
2_methylbuta_13_diene,-1.12,10.49,-7.56,2.93,1.81,0.68,-1.59,68,249.1,110.7,85.7,110.6,87.9,265.2,121.7,101.4,126.9,94.1,267.1,124.4,109.6,127.1,107.1
2_methylbutan_1_ol,-4.88,13.14,-11.04,2.1,-2.78,-4.42,-5.42,88,276.9,129.1,108.9,128.9,111.2,291.3,139.4,126.7,150.6,114.6,291.7,140.7,130,145.4,125.4
2_methylbutan_2_ol,-5.17,12.58,-10.37,2.21,-2.96,-4.43,-4.82,88,274.5,128,109.7,127.8,111.9,291.1,139.9,129.2,151.9,116.8,288.8,139.4,130.4,144.9,125.3
2_methylbutane,0.01,12.28,-9.77,2.51,2.52,2.38,-0.04,72,261.5,119.5,99.1,119.4,101.4,281.3,133.6,121.5,143.3,110.6,274.8,130.2,119,133.9,115.2
2_methylhexane,0.01,15.56,-12.57,2.99,3,2.93,-0.06,100,323.8,157.5,135.7,157.3,138.4,346.2,174.4,165.1,189,149.3,338.2,169.6,160.9,175.2,154.9
2_methylpent_1_ene,-0.4,13.06,-9.91,3.15,2.75,1.47,-0.72,84,290.5,136,111.1,135.9,113.7,310.5,150.6,134.4,160.6,122.3,306.2,148.9,136.1,153,131.6
2_methylpentan_2_ol,-5.13,14.87,-12.53,2.34,-2.79,-3.92,-5.39,102,305.5,146.8,128,146.6,130.5,323.4,160.3,150.9,174.6,136.2,320.4,159,151.6,165.5,145.2
2_methylpentan_3_ol,-4.75,14.36,-11.8,2.56,-2.19,-3.88,-4.25,102,303.1,145.9,126.9,145.7,129.6,322.2,159.6,149.7,173.6,135,318.1,158.2,151,164,144.9
2_methylpentane,0.01,14.14,-11.37,2.77,2.78,2.51,-0.05,86,296.5,140.3,118,140.2,120.4,317.8,156.1,144.2,168.9,130.4,310.5,151.9,140.7,156.9,135.4
2_methylpropan_1_ol,-5.02,11.74,-9.68,2.06,-2.96,-4.5,-6.21,74,254,114,91.2,113.9,93.1,264,121.9,105.5,130.3,95.7,267.6,124.7,109.9,128.4,106.1
2_methylpropan_2_ol,-5.31,11.11,-8.89,2.22,-3.09,-4.47,-5.49,74,249.6,112,91.5,111.9,93.5,264.8,122.7,107.7,132,97.6,263.8,122.9,110.3,127.5,105.9
2_methylpropane,0.01,10.12,-7.39,2.73,2.74,2.32,-0.04,58,239.4,105,82,104.9,83.9,258.3,118.3,101.5,126.2,92.3,252.3,115.1,99.5,168.6,129.1
2_methylpropene,-0.45,9.77,-6.98,2.79,2.34,1.16,-0.77,56,231.7,99.8,74.4,99.8,76.3,249.2,111.7,90.5,116.4,83.6,246.9,111.5,94.4,113.7,92
2_methylpyrazine,-6.99,13.06,-12.17,0.89,-6.1,-5.51,-7.96,94,259.1,116.3,91.2,116.2,93.3,273.9,126.6,106.4,130.2,99.9,278.3,131.8,119,133.5,117.3
2_methylpyridine,-4.95,12.81,-11.27,1.54,-3.41,-4.63,-5.43,93,267.2,121.3,96.3,121.2,98.3,283.7,132.8,112.6,136.8,105.4,284.8,136,123.9,137.7,122.1
2_methyltetrahydrofuran,-3.39,12.93,-11.49,1.44,-1.95,-3.3,-3.45,86,260.9,118.3,96.7,118.3,99,276.9,129.6,114,137.2,104.1,274,129.1,117.2,131.9,114.3
2_methylthiophene,-1.9,12.03,-10.35,1.68,-0.22,-1.38,-2.52,98,259.4,116.5,92.3,116.4,94.2,274,126.5,106.2,130.4,99.5,280,133.2,122,135,120.1
2_naphthol,-8.7,17.36,-16.54,0.82,-7.88,-8.11,-10.42,144,326.1,160.3,137.8,160.2,140.4,335.4,168.3,152.6,174.4,142.9,346.2,177.2,174.4,180.1,171
2_naphthylamine,-8.83,17.81,-16.85,0.96,-7.87,-7.47,-10.02,143,331.5,164,141.4,163.9,143.9,338.8,170.4,155.2,176.7,145.5,351.5,180.9,178.8,184.3,175.1
2_nitroaniline,-7.84,16.41,-16.53,-0.12,-7.96,-7.37,-7.86,138,294.5,141,117.9,140.9,120.1,300.8,145.6,127.7,150.5,119.8,315.8,157.7,150.4,160.4,147.6
2_nitrophenol,-5.4,16.08,-16.02,0.06,-5.34,-4.58,-9.88,139,291.8,139,115.8,138.9,117.9,298.4,143.9,125.4,148.7,117.6,313,155.6,147.5,158.3,144.7
2_nitropropane,-2.54,12.71,-11.78,0.93,-1.61,-3.13,-3.26,89,251.3,111.8,88.8,111.7,91,263.6,120.6,102.8,127.8,93.3,267.8,124.4,109.6,128,106.1
2_nitrotoluene,-3.79,17.1,-16.45,0.65,-3.14,-3.58,-4.07,137,302.5,146,123.9,145.9,126,315.9,155.6,139.6,161.8,130.3,322.7,162.3,156.3,165.2,153.3
2_phenylethanol,-7.05,15.69,-13.97,1.72,-5.33,-6.79,-8.68,122,317.1,153.2,130,153.1,132.4,329.3,162.3,145.6,171.6,133.5,335.1,168.3,160.9,172.5,156.5
2_propoxyethanol,-6.14,14.73,-12.8,1.93,-4.21,-6.4,-11.82,104,315.4,147.6,117,147.5,119.7,326.1,156.2,132.3,165,120.1,329.7,160.3,141.7,164,137.5
22_dimethylbutane,0.01,13.53,-11.01,2.52,2.53,2.51,-0.04,86,283.2,134.3,118.7,134.1,120.9,303.6,149.2,143.5,162.7,130.1,297.4,145.7,140.6,152,134.8
22_dimethylpentane,0.01,15.08,-12.19,2.89,2.9,2.88,-0.05,100,314.7,153.5,137.5,153.4,140,336.4,169.9,165.9,186.2,149.9,329.5,165.6,162,173.4,155
22_dimethylpropane,0.01,12.29,-9.7,2.59,2.6,2.51,-0.04,72,260.7,119.6,101.5,119.5,103.2,280.2,133.8,123.2,145.3,111.9,274.4,130.3,120.9,136.2,115.4
222_trifluoroethanol,-6.05,9.36,-7.26,2.1,-3.95,-4.31,-8.33,100,222.4,93.8,69.9,93.7,71.6,229.2,99,79.2,103.2,73.1,243.7,108.9,91.2,111.3,88.7
224_trimethylpentane,0.02,16.31,-13.4,2.91,2.93,2.89,-0.05,114,327.4,163.2,153.1,163,155.7,349.4,179.8,183.1,197.6,165.8,342.7,175.7,179.4,184.1,171.5
225_trimethylhexane,0,18.3,-15.44,2.86,2.86,2.93,-0.06,128,361.2,183.8,173.5,183.5,176.6,384.2,201.7,207.7,223.2,186.9,377.1,197.1,203.3,207.4,193.3
23_dimethylbuta_13_diene,-1.11,12.17,-9.37,2.8,1.69,0.4,-1.63,82,272.8,126.5,103.3,126.5,105.8,291.2,139.3,122.4,146.4,113.4,290.3,140.4,129.8,144.2,126.2
23_dimethylbutane,0.01,13.63,-10.95,2.68,2.69,2.34,-0.04,86,284.6,135.3,118.7,135.1,121,305.1,150.1,143.8,163.5,130.4,298.9,146.7,140.9,152.5,135.4
23_dimethylnaphthalene,-4.43,19.15,-17.31,1.84,-2.59,-2.78,-4.84,156,362.5,184.6,164,184.5,167.1,383.3,200.2,189.1,209.8,175.9,381.7,201.5,204.7,206,199.7
23_dimethylpentane,0,15.24,-12.58,2.66,2.66,2.52,-0.05,100,310.4,151.6,136.4,151.4,139.1,331.9,167.5,164.7,183.4,149.3,325.2,163.8,161,170.3,154.6
23_dimethylphenol,-6.49,15.51,-13.69,1.82,-4.67,-6.16,-7.52,122,307.6,148.8,126.3,148.8,128.9,322.6,159.6,143.8,166.8,133.5,324.7,163.3,158,166.9,154.1
23_dimethylpyridine,-4.79,14.54,-13.02,1.52,-3.27,-4.82,-5.25,107,290.9,136.8,112.7,136.7,114.9,309.3,150,132.2,155.5,123.2,308,151.6,142.9,154,140.3
234_trimethylpentane,0.01,16.49,-13.64,2.85,2.86,2.56,-0.05,114,329.6,165.2,155.3,165,158.5,351.7,181.7,186.1,201.4,168.6,345.3,178,182.5,187,174.4
24_dimethylpentan_3_one,-5.13,15.61,-12.95,2.66,-2.47,-2.74,-5.31,114,323.1,158.5,142.1,158.3,145.2,343.7,174,169.4,192.4,150.3,338.9,171.8,168.9,180.5,160.4
24_dimethylpentane,0,15.42,-12.53,2.89,2.89,2.83,-0.05,100,306.4,148.8,133.7,148.7,136.5,327.8,164.7,161.5,180,146.3,320.9,160.8,158,167.4,151.8
